insert into phenome.locus (population_id, locus_name, locus_symbol, locus_synonym, original_symbol) values ((select population_id from phenome.population where phenome.population.population_name like 'tgrc'), 'anthocyaninless', 'a', '{a1,a}', 'a');										
locus_id	population_id	locus_name	locus_symbol	locus_synonym	original_symbol	gene_activity	gi_list	pubmed_list	unigene_id	notes
	tgrc	Spotted wilt resistance-5	sw5	Sw-5	sw5	LRR	15418708	11043474		
	tgrc	spotted yellow virescent	syv		syv					
n	tgrc	spuarrosa-2	squa2		squa-2					
	tgrc	squarrosa	squa		squa					
	tgrc	squarrulosa	sar	sar1	sar					
	ncbi	ss-galactosidase	teg1A	TBG3			7939618|4138136	10889266		
	ncbi	ss-galactosidase, clone tEG1B	tEG1B	TBG1			4138138|7923934|971484	9625694|10889266|7630937		
	ncbi	ss-galactosidase, clone tEG3	tEG3	TBG4			7923928|4138140	9625694|10889266		
	tgrc	stabilis	sta		sta					
	tgrc	stamenless	sl		sl					
	tgrc	stamenless-2	sl2	sl-2,sl2	sl-2					
n	tgrc	staminodea	stam		stam					
	ncbi	stay-green 1	SGR1				68510417			
	tgrc	Stemphyllium resistance	sm	Sm	Sm					
n	tgrc	sterile	st		st					
	tgrc	sterilis	ste		ste					
	ncbi	steroid 5 alpha reductase DET2	det2.1		GenBank: det2		57335415	15993049		
	tgrc	sticky peel	pe		pe					
	ncbi	STIG1	Stig1				38731657	15255864		
n	tgrc	striata	str		str					
	tgrc	stricta	stri		stri					
n	tgrc	stricta-2	stri2		stri-2					
n	tgrc	stricta-3	stri3		stri-3					
n	tgrc	stricta-4	stri4		stri-4					
	tgrc	stunted	stu		stu					
n	tgrc	suberosa-2	sur2		sur-2					
n	tgrc	subristica	sru		sru					
n	tgrc	subrotunda	suo		suo					
n	tgrc	Subsistens	Sus		Sus					
	tgrc	subtilis	sub		sub					
	ncbi	subtilisin	P69B			subtilisin-like protein	2230958|73698148	9162080		
	tgrc	succedanea	suc		suc					
	ncbi	succinate dehydrogenase subunit 3	sdh3				15004509	11454775		
	ncbi	succinate dehydrogenase subunit 4	sdh4				15021577	11454775		
	ncbi	succinyl-CoA ligase alpha 1 subunit	SCOA1		GenBank: SCOA		27357174	16270230		
	ncbi	succinyl-CoA ligase alpha 2 subunit	SCOA2		GenBank: SCOA	succinyl-CoA ligase alpha 2 subunit	47104224|49617538	16270230		
n	tgrc	suckerless	sul		sul					
	tgrc	sucrose accumulator	sucr	TIV1	sucr					
	ncbi	sucrose synthase	sus3			sucrose synthase	3758872			
	ncbi	sucrose transporter 1	SUT1			sucrose transporter	575298|47104128			
	ncbi	sucrose transporter 4	SUT4			sucrose transporter	9957217	10948254		
	ncbi	sucrose transporter 2	SUT2			sucrose transporter	10119907	10899981		
	ncbi	sucrose-phosphate synthase	sps			sucrose-phosphate synthase	12232569|52139813|11231163			
	tgrc	sufflaminata	sfa	sfa1,par	sfa					
	tgrc	sufflava	suf		suf					
n	tgrc	sufflava-2	suf2		suf-2					
	tgrc	suffulta	su	exa,di,ni	su					
	tgrc	suffusa	sua		sua					
n	tgrc	suffusa-2	sua2		sua-2					
	ncbi	sugar transporter 3	st3			sugar transporter	23504384			
n	tgrc	sulfurea	sulf		sulf					
n	tgrc	sun dwarf-2	sd2		sd-2					
n	tgrc	sun dwarf-3	sd3		sd-3					
n	tgrc	Sun1642 fruit shape	sun		sun					
	tgrc	sundwarf	sd		sd					
	tgrc	sunny	sy	ye	sy					
	tgrc	superba	sup		sup					
	ncbi	superoxidase dismutase	SOD3		GenBank: SOD	Cu-Zn superoxide dismutase (SOD)	33327348|19192|170513			
	ncbi	superoxide dismutase	sod	sod1	GenBank: SOD	Cu-Zn superoxide dismutase (EC 1.15.1.1)	19196|170511			
	tgrc	Superoxide dismutase-1	sod1	Sod-1	Sod-1	Superoxide dismutase				
	tgrc	Superoxide dismutase-2	sod2	Sod-2	Sod-2	Superoxide dismutase				
n	tgrc	Superpuff	Spf		Spf					
n	tgrc	Superpuff-2	Spf2		Spf-2					
	tgrc	Sympodial index	spi	Spi	Spi					
	tgrc	tabescens	tab		tab					
	tgrc	tarda	ta		ta					
	ncbi	TDR6 transcription factor	TDR6			transcription factor	19385|24967131	1688249|13677468		
	ncbi	temperature-induced lipocalin	TIL				77744872|47104517|77744858			
	tgrc	tempestiva	tem	tem1	tem					
	tgrc	temporarily red light insensitive	tri		tri					
	tgrc	tenera	tn		tn					
	tgrc	tenuis	ten		ten					
	tgrc	terminata	te	te1	te					
	tgrc	terminating flower	tmf		tmf					
	ncbi	tft3 14-3-3	tft3				6688553|466333	7632735		
	tgrc	thiaminless	tl		tl					
	ncbi	thioredoxin peroxidase 1	TPx1				30841937			
	ncbi	thiosulfate sulfurtransferase	tst				19571830			
	ncbi	threonine deaminase	Td			threonine deaminase	695268|170457	2011578		
	tgrc	tiny plant	ti		ti					
	tgrc	Tobacco mosaic virus resistance	tm	Tm	Tm					
	tgrc	Tobacco mosaic virus resistance-2	tm2	Tm-2,Tm2	tm-2	CC-NBS-LRR	33621254	14558663		
	ncbi	TOMARPIX  proteinase inhibitor	ARPI				405581	7903168		
	ncbi	tomato acid invertase	TIV1	Aiv-1,ai,AI		invertase	287473|18542112|19849289|18542114|452399|22716|170361|546936	1304771|7515313|8095164		
	ncbi	Tomato acid phosphatase	aps1	APS-1		phosphatese	250101|28375515|170371	1368210		
	ncbi	Tomato G protein alpha-subunit	TGA1				455375	1748292		
	ncbi	Tomato RuBP carboxylase small subunit	SS5				170497|170503|47104438	3012537|3557127		
	ncbi	TOMBIPGRBC Tomato BiP (binding protein)/grp78	bipgrp78	BiP/grp78		glucose-regulated protein, 78 kD	170383			
	ncbi	TOMGTPASE  Mill. GTPase	SAR2				473683	8123794		
	ncbi	TOMLHA1 H+-ATPase	LHA1			ATPase	170463			
	ncbi	TOMMTA  metallothionein II	TOMMTA		GenBank: MTA		1449135	9049270		
	ncbi	TOMPRORNA  prosystemin	prosystemin				170485	1549783		
	ncbi	TOMPRP4  PR (pathogenesis related) protein 4	P4				170487	1421154		
	ncbi	TOMTPX2A  peroxidase	TPX2			peroxidase	295354	8029340		
n	tgrc	Tortilis	Tor		Tor					
	ncbi	transaldolase	TAL				47104534|10441271			
	ncbi	transcription factor JERF1	JERF1				22074045	15300440		
n	tgrc	Trialeurodes vaporariorum resistance-1	Tv1		Tv-1					
n	tgrc	Trialeurodes vaporariorum resistance-2	Tv2		Tv-2					
	tgrc	trifoliate	tf	ct,tri	tf					
	tgrc	Triosephosphate isomerase-2	tpi2	Tpi-2	Tpi-2					
	tgrc	tripinnate leaf	tp		tp					
	tgrc	tristis	trs		trs					
	tgrc	truncata	tr	tr1	tr					
n	tgrc	truncata-2	tr2		tr-2					
n	tgrc	tumida	tu		tu					
	tgrc	turbinate corolla	tc		tc					
n	tgrc	turgida	tur		tur					
	ncbi	xyloglucan endo-transglycosylase B1	tXETB1	tXET-B1			577065	7632911		
	ncbi	xyloglucan endo-transglycosylase B2	tXETB2	tXET-B2			577067	7632911		
	tgrc	TYLCV resistance	ty1	Ty-1	Ty-1					
	ncbi	type 5 protein serine/threonine phosphatase 62 kDa isoform	PP5				28141003|47104998|27820118	12972652		
	ncbi	ubiquitin carrier	Ubca		GenBank: ubc		399620|388206|47105182	8012051		
	ncbi	ubiquitin conjugating enzyme	Ubc				886678	9202147		
	ncbi	ubiquitin conjugating enzyme E2	UBC2		GenBank: UBC		441456	8290646		
	ncbi	UDP-xylose phenolic glycosyltransferase	gtsatom				60649934			
	tgrc	umbraculiformis	ub		ub					
	tgrc	umbrosa	um		um					
n	tgrc	umbrosa-2	um2		um-2					
n	tgrc	umbrosa-3	um3		um-3					
n	tgrc	undulatifolia	und		und					
	tgrc	unicaulis	uni		uni					
n	tgrc	unicaulis-2	uni2		uni-2					
n	tgrc	unicaulis-3	uni3		uni-3					
n	tgrc	unicaulis-4	uni4		uni-4					
	tgrc	uniflora	uf		uf					
	tgrc	uniform gray-green	ug	u2	ug					
	tgrc	uniform ripening	u	u1	u					
n	tgrc	unijuga	un		un					
	tgrc	upright growth	upg		upg					
	tgrc	upright leaf	ul		ul					
	tgrc	upright pedicel	up		up					
	ncbi	urease accessory protein D	ureD				31096384|31096386			
	ncbi	urease accessory protein F	ureF				31096388			
	ncbi	UV damaged DNA binding protein 1	DDB1	hp1			38455767|42602164	14968305|15178762		
	ncbi	vacuolar processing enzyme	vpe				5640112			
	ncbi	vacuolar-type H+-pyrophosphatase	vp1d1	vp1.1			14149006			
n	tgrc	valida	val		val					
	tgrc	varia	va		va					
n	tgrc	varia-2	va2		va-2					
	tgrc	variabilis	var		var					
n	tgrc	variabilis-2	var2		var-2					
	tgrc	variable male-sterile	vms		vms					
	tgrc	vegetative	vg		vg					
	tgrc	venosa	ven		ven					
	tgrc	versicolor	ver	yv-4,ver1	ver					
n	tgrc	versicolor-2	ver2		ver-2					
n	tgrc	versiformis	ves		ves					
	tgrc	versiformis-2	ves2	ves-2,vf	ves-2					
	tgrc	Verticillium resistance	ve	Ve	ve	LRR				is ve1 or ve2 gene?
	ncbi	verticillium wilt disease resistance	Ve1			LRR	14279667	11331751		is ve gene?
	ncbi	verticillium wilt disease resistance 2	Ve2			LRR	14269078	11331751		is ve gene?
	ncbi	vicilin	vicilin				6688563			
	tgrc	vieta	vt		vt					
	tgrc	villous	vi		vi					
	tgrc	violacea	vio		vio					
n	tgrc	violacea-2	vio2		vio-2					
n	tgrc	virescent	v		v					
	tgrc	virescent light green	vlg		vlg					
	tgrc	virescent orange	vo		vo					
	tgrc	virescent-2	v2	v-2,v2	v-2					
	tgrc	virescent-3	v3	v-3,V3	v-3					
n	tgrc	virgatula	vta		vta					
	tgrc	virgulta	vga	vga1	vga					
n	tgrc	virgulta-2	vga2		vga-2					
	tgrc	viridis	vir		vir					
	tgrc	viridula	vra	vra1	vra					
n	tgrc	viridula-2	vra2		vra-2					
n	tgrc	viroid	vrd		vrd					
	ncbi	viroid RNA-binding protein	Virp2				19171206|33339153	9380503		
n	tgrc	vitiosa	vit		vit					
	ncbi	water channel protein	Aqp2				7263069	11556787		
n	tgrc	Waxy	Wx		Wx					
	ncbi	WD-40 repeat protein	MSI1				2394226|47105599			
	tgrc	White anthers	wa	Wa	wa					
	tgrc	white flower	wf		wf					
	tgrc	white virescent	wv		wv					
	tgrc	white virescent-2	wv2	wv-2	wv-2					
	tgrc	white virescent-3	wv3	wv-3	wv-3					
	ncbi	whitefly-induced gp91-phox	Wfi1				8131889			
	tgrc	Wilty	wlt	Wlt	Wlt					
	tgrc	wilty	wt		wt					
	tgrc	wilty dwarf	wd		wd					
n	tgrc	wilty-2	wt2		wt-2					
	tgrc	wiry	w		w					
n	tgrc	wiry-2	w2		w-2					
	tgrc	wiry-3	w3	w-3,w3,w2	w-3					
	tgrc	wiry-4	w4	w-4,w4	w-4					
n	tgrc	wiry-5	w5		w-5					
	tgrc	wiry-6	w6	w-6,w6	w-6					
n	tgrc	wiry-7	w7		w-7					
n	tgrc	wiry-8	w8		w-8					
	tgrc	without anthocyanin	aw	aba,ab,a179	aw					
n	tgrc	without anthocyanin-2	aw2		aw-2					
	tgrc	Wooly	wo	Wo	Wo					
	ncbi	wuschel	wus				28070967			
	ncbi	Xaa-Pro aminopeptidase 1	app1				15384988	11423553		
	ncbi	Xaa-Pro aminopeptidase 2	app2				15384990|47105229	11423553		
n	tgrc	xantha	xan		xan					
	tgrc	xantha-2	xan2	xan-2,xan2	xan-2					
n	tgrc	xantha-3	xan3		xan-3					
	tgrc	xantha-4	xan4	xan-4,xan4	xan-4					
n	tgrc	xantha-5	xan5		xan-5					
n	tgrc	Xanthomonas campestris resistance	Xv3		Xv-3					
	tgrc	Xanthophyllic	xa	Xa	xa					
	tgrc	Xanthophyllic-2	xa2	Xa-2,Xa2,A	xa-2					
	tgrc	Xanthophyllic-3	xa3	Xa-3,Xa3	xa-3					
	ncbi	xyloglucan endoglucanase inhibitor	Xegip	ACI25		xyloglucan-specific fungal endoglucanase inhibitor protein precursor (ACI25)	68449753|27372526			
	ncbi	xyloglucan endotransglucosylase-hydrolase 3	XTH3				42795461|47105496			
	ncbi	xyloglucan endotransglucosylase-hydrolase 5	XTH5				42795459			
	ncbi	xyloglucan endotransglucosylase-hydrolase 6	XTH6				42795463			
	ncbi	xyloglucan endotransglucosylase-hydrolase 7	XTH7				42795465			
	ncbi	xyloglucan endotransglucosylase-hydrolase 9	XTH9				42795467			
	ncbi	xyloglucan endotransglycosylase	BR1				6573240	10631252		
	ncbi	xyloglucan endotransglycosylase 4	XET4				12003048			
	ncbi	xyloglucan endotransglycosylase 2	XET2				9857711	11706197		
	ncbi	xyloglucan endotransglycosylase/hydrolase 16	XTH16				70780050			
n	tgrc	yellow calyx	yc		yc					
	tgrc	yellow flesh	r	GTOM5,yellow flesh, ry	r	phytoene syntase	19346|19398	8343597		
n	tgrc	yellow seedlings	ys		ys					
	tgrc	yellow virescent	yv		yv					
	tgrc	yellow virescent-2	yv2	yv-2	yv-2					
	tgrc	yellow virescent-4	yv4	yv-4	yv-4					
n	tgrc	yellow-green	yg		yg					
	tgrc	yellow-green-2	yg2	yg-2,yc,yg282,yg2	yg-2					
	tgrc	yellow-green-3	yg3	yg-3,yg3,yg330,ye	yg-3					
	tgrc	yellow-green-4	yg4	yg-4,yg4,yl,yg333	yg-4					
	tgrc	yellow-green-5	yg5	yg-5,yw,yg388,yg5	yg-5					
n	tgrc	yellow-green-7	yg7		yg-7					
n	tgrc	yellow-green-8	yg8		yg-8					
	tgrc	yellow-green-9	yg9	yg-9	yg-9					
	ncbi	zeta-carotene desaturase	zds			zeta-carotene desaturase	6470254			
	ncbi	zinc finger	TIM10				5107179			
